,1,2,3,4,Players Sent,Players Received,Year,Month,Day
663, St. Patricks, • George Patterson," • loan of Albert Pudas / Al Pudas• $5,000 cash",Hamilton(Can-Pro),2,1,1927,02,01
672, Blackhawks, • Nick Wasnie• Charlie Gardiner• Cecil Brown, • $17.5K cash,Winnipeg(AHA)(dateapproximate),1,3,1927,04,01
673, Blackhawks, • Cecil Browne• Chuck Gardiner, • cash,Winnipeg(AHA),1,2,1927,04,08
676, Blackhawks," • $15,000 cash", • George Hay• Percy Traub,RedWings,2,1,1927,04,11
677, Red Wings, • George Hay• Percy Traub," • $15,000 cash",Blackhawks,1,2,1927,04,11
678, Cougars, • Bill Brydge, • Art Duncan,MapleLeafs,1,1,1927,05,16
679, Maple Leafs, • Art Duncan, • Bill Brydge,Cougars,1,1,1927,05,16
680, Bruins, • Carson Cooper, • Billy Boucher,Canadiens,1,1,1927,05,22
681, Bruins, • cash, • Carson Cooper,Cougars,1,1,1927,05,22
682, Bruins, • Fred Gordon, • Harry Meeking,Cougars,1,1,1927,05,22
683, Canadiens, • Billy Boucher, • Carson Cooper,Bruins,1,1,1927,05,22
684, Cougars, • Carson Cooper, • cash,Bruins,1,1,1927,05,22
685, Cougars, • Harry Meeking, • Fred Gordon,Bruins,1,1,1927,05,22
686, Blackhawks, • Corbett Denneny, • cash,Saskatoon(PrHL)(dateapproximate),1,1,1927,06,01
687, Bruins, • Fred Gordon, • Carson Cooper,Cougars(RedWingsmediaguide)(dateapproximate),1,1,1927,07,01
688, Cougars, • Carson Cooper, • Fred Gordon,Bruins(RedWingsmediaguide)(dateapproximate),1,1,1927,07,01
692, Blackhawks, , • Cully Wilson,StPaul(AHA),1,0,1927,09,01
697, Bruins, • Harry Connor, • cash,Saskatoon(PrHL),1,1,1927,10,01
698, Rangers, • rights to Harry Foster / Yip Foster, • rights to Eric Pettinger,StPatricks(arrangedbyNHLtosettleRangers&StPatricksclaimtoFoster)(dateapproximate),1,1,1927,10,01
699, St. Patricks, • rights to Eric Pettinger, • rights to Harry Foster / Yip Foster,Rangers(arrangedbyNHLtosettleRangers&StPatricksclaimtoFoster)(dateapproximate),1,1,1927,10,01
